Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 8).
jj1 = 318, max_th = 1.958815e+00, time=2025-01-13 00:41:53 
jj1 = 377, max_th = 2.228157e+00, time=2025-01-13 00:42:44 
jj1 = 254, max_th = 1.981844e+00, time=2025-01-13 00:43:28 
jj1 = 436, max_th = 2.180018e+00, time=2025-01-13 00:45:22 
jj1 = 198, max_th = 2.223051e+00, time=2025-01-13 00:45:31 
jj1 = 490, max_th = 1.983909e+00, time=2025-01-13 00:45:40 
jj1 = 78, max_th = 1.404854e+00, time=2025-01-13 00:46:00 
jj1 = 317, max_th = 1.395805e+00, time=2025-01-13 00:46:48 
jj1 = 376, max_th = 1.389028e+00, time=2025-01-13 00:48:04 
jj1 = 435, max_th = 2.623611e+00, time=2025-01-13 00:49:59 
jj1 = 197, max_th = 2.627791e+00, time=2025-01-13 00:50:03 
jj1 = 144, max_th = 2.226445e+00, time=2025-01-13 00:50:13 
jj1 = 253, max_th = 2.418405e+00, time=2025-01-13 00:50:36 
jj1 = 77, max_th = 1.718015e+00, time=2025-01-13 00:54:44 
jj1 = 375, max_th = 2.435936e+00, time=2025-01-13 00:54:53 
jj1 = 316, max_th = 1.709926e+00, time=2025-01-13 00:55:08 
jj1 = 489, max_th = 1.987872e+00, time=2025-01-13 00:55:30 
jj1 = 143, max_th = 1.727298e+00, time=2025-01-13 00:59:10 
jj1 = 434, max_th = 1.986758e+00, time=2025-01-13 00:59:43 
jj1 = 76, max_th = 1.382458e+00, time=2025-01-13 00:59:58 
jj1 = 196, max_th = 1.976220e+00, time=2025-01-13 01:00:17 
jj1 = 252, max_th = 1.985383e+00, time=2025-01-13 01:00:31 
jj1 = 374, max_th = 2.200712e+00, time=2025-01-13 01:01:58 
jj1 = 75, max_th = 9.889637e-01, time=2025-01-13 01:02:04 
jj1 = 315, max_th = 1.704443e+00, time=2025-01-13 01:02:51 
jj1 = 142, max_th = 2.624421e+00, time=2025-01-13 01:03:49 
jj1 = 488, max_th = 2.225884e+00, time=2025-01-13 01:04:49 
jj1 = 251, max_th = 2.438804e+00, time=2025-01-13 01:07:06 
jj1 = 373, max_th = 1.407277e+00, time=2025-01-13 01:07:10 
jj1 = 433, max_th = 1.711637e+00, time=2025-01-13 01:08:02 
jj1 = 195, max_th = 2.216340e+00, time=2025-01-13 01:09:23 
jj1 = 74, max_th = 1.986400e+00, time=2025-01-13 01:11:55 
jj1 = 487, max_th = 2.197494e+00, time=2025-01-13 01:12:48 
jj1 = 314, max_th = 1.984058e+00, time=2025-01-13 01:12:50 
jj1 = 141, max_th = 1.972953e+00, time=2025-01-13 01:13:55 
jj1 = 250, max_th = 1.724827e+00, time=2025-01-13 01:16:07 
jj1 = 432, max_th = 1.720139e+00, time=2025-01-13 01:16:42 
jj1 = 372, max_th = 1.980927e+00, time=2025-01-13 01:17:17 
