MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 75, max_th = 7.978149e-01, time=2024-09-08 13:58:06 
jj1 = 201, max_th = 1.512815e+00, time=2024-09-08 13:58:23 
jj1 = 352, max_th = 1.309967e+00, time=2024-09-08 13:58:49 
jj1 = 159, max_th = 1.660839e+00, time=2024-09-08 13:59:41 
jj1 = 428, max_th = 1.981274e+00, time=2024-09-08 13:59:50 
jj1 = 396, max_th = 2.216869e+00, time=2024-09-08 13:59:51 
jj1 = 231, max_th = 2.448108e+00, time=2024-09-08 14:02:03 
jj1 = 395, max_th = 2.949011e+00, time=2024-09-08 14:02:41 
jj1 = 427, max_th = 1.478299e+00, time=2024-09-08 14:04:07 
jj1 = 117, max_th = 2.219681e+00, time=2024-09-08 14:04:21 
jj1 = 315, max_th = 2.009301e+00, time=2024-09-08 14:04:38 
jj1 = 74, max_th = 1.998196e+00, time=2024-09-08 14:04:41 
jj1 = 273, max_th = 1.587173e+00, time=2024-09-08 14:05:03 
jj1 = 351, max_th = 2.096717e+00, time=2024-09-08 14:05:30 
jj1 = 510, max_th = 2.218641e+00, time=2024-09-08 14:07:19 
jj1 = 200, max_th = 1.825735e+00, time=2024-09-08 14:07:34 
jj1 = 158, max_th = 1.936506e+00, time=2024-09-08 14:09:14 
jj1 = 350, max_th = 1.270160e+00, time=2024-09-08 14:09:23 
jj1 = 466, max_th = 1.874989e+00, time=2024-09-08 14:09:38 
jj1 = 314, max_th = 2.493132e+00, time=2024-09-08 14:09:44 
jj1 = 509, max_th = 1.193446e+00, time=2024-09-08 14:11:20 
jj1 = 349, max_th = 1.261749e+00, time=2024-09-08 14:11:43 
jj1 = 394, max_th = 1.756535e+00, time=2024-09-08 14:12:21 
jj1 = 73, max_th = 1.847135e+00, time=2024-09-08 14:12:53 
jj1 = 426, max_th = 2.345960e+00, time=2024-09-08 14:13:14 
jj1 = 116, max_th = 2.565226e+00, time=2024-09-08 14:14:01 
jj1 = 348, max_th = 2.612241e+00, time=2024-09-08 14:14:16 
jj1 = 157, max_th = 2.743335e+00, time=2024-09-08 14:14:19 
jj1 = 508, max_th = 2.736518e+00, time=2024-09-08 14:14:45 
jj1 = 465, max_th = 1.368465e+00, time=2024-09-08 14:15:02 
jj1 = 425, max_th = 2.747318e+00, time=2024-09-08 14:15:02 
jj1 = 230, max_th = 1.669141e+00, time=2024-09-08 14:15:39 
jj1 = 393, max_th = 1.191834e+00, time=2024-09-08 14:15:41 
jj1 = 347, max_th = 9.997996e-01, time=2024-09-08 14:15:43 
jj1 = 199, max_th = 1.809396e+00, time=2024-09-08 14:15:44 
jj1 = 313, max_th = 2.256670e+00, time=2024-09-08 14:17:02 
jj1 = 464, max_th = 1.486494e+00, time=2024-09-08 14:17:03 
jj1 = 424, max_th = 2.758913e+00, time=2024-09-08 14:17:52 
jj1 = 272, max_th = 1.771820e+00, time=2024-09-08 14:18:08 
jj1 = 392, max_th = 8.838982e-01, time=2024-09-08 14:18:13 
jj1 = 72, max_th = 2.557779e+00, time=2024-09-08 14:18:41 
jj1 = 198, max_th = 9.663199e-01, time=2024-09-08 14:21:13 
