MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 431, max_th = 1.779470e+00, time=2024-09-06 20:39:45 
jj1 = 241, max_th = 1.090383e+00, time=2024-09-06 20:41:32 
jj1 = 430, max_th = 8.863499e-01, time=2024-09-06 20:42:14 
jj1 = 429, max_th = 4.182281e+00, time=2024-09-06 20:43:18 
jj1 = 151, max_th = 1.973175e+00, time=2024-09-06 20:45:15 
jj1 = 150, max_th = 3.056845e-01, time=2024-09-06 20:45:34 
jj1 = 73, max_th = 2.158603e+00, time=2024-09-06 20:45:50 
jj1 = 125, max_th = 2.609829e+00, time=2024-09-06 20:47:30 
jj1 = 467, max_th = 1.854455e+00, time=2024-09-06 20:47:48 
jj1 = 279, max_th = 2.601216e+00, time=2024-09-06 20:47:59 
jj1 = 72, max_th = 2.421396e+00, time=2024-09-06 20:49:21 
jj1 = 428, max_th = 1.237420e+00, time=2024-09-06 20:51:20 
jj1 = 466, max_th = 2.114391e+00, time=2024-09-06 20:53:53 
jj1 = 465, max_th = 2.680768e-01, time=2024-09-06 20:55:37 
jj1 = 278, max_th = 1.415023e+00, time=2024-09-06 20:56:02 
jj1 = 197, max_th = 2.071361e+00, time=2024-09-06 20:57:20 
jj1 = 353, max_th = 2.153927e+00, time=2024-09-06 20:59:55 
jj1 = 427, max_th = 2.285402e+00, time=2024-09-06 21:01:14 
jj1 = 385, max_th = 1.479421e+00, time=2024-09-06 21:01:56 
jj1 = 240, max_th = 2.021142e+00, time=2024-09-06 21:02:08 
jj1 = 124, max_th = 1.746813e+00, time=2024-09-06 21:02:22 
jj1 = 149, max_th = 1.409136e+00, time=2024-09-06 21:03:41 
jj1 = 239, max_th = 3.262073e+00, time=2024-09-06 21:05:02 
jj1 = 71, max_th = 2.441827e+00, time=2024-09-06 21:05:36 
jj1 = 148, max_th = 2.946945e-01, time=2024-09-06 21:05:51 
jj1 = 322, max_th = 1.998169e+00, time=2024-09-06 21:06:53 
jj1 = 464, max_th = 1.792133e+00, time=2024-09-06 21:07:18 
jj1 = 352, max_th = 2.531992e+00, time=2024-09-06 21:12:18 
jj1 = 196, max_th = 1.536441e+00, time=2024-09-06 21:12:20 
jj1 = 238, max_th = 4.618448e+00, time=2024-09-06 21:12:38 
jj1 = 123, max_th = 8.101994e-01, time=2024-09-06 21:14:01 
jj1 = 426, max_th = 1.920850e+00, time=2024-09-06 21:14:15 
jj1 = 70, max_th = 1.744627e+00, time=2024-09-06 21:16:34 
jj1 = 147, max_th = 1.967223e+00, time=2024-09-06 21:17:18 
jj1 = 277, max_th = 1.765070e+00, time=2024-09-06 21:17:46 
jj1 = 384, max_th = 2.151110e+00, time=2024-09-06 21:18:46 
jj1 = 321, max_th = 1.525618e+00, time=2024-09-06 21:19:25 
jj1 = 463, max_th = 1.694926e+00, time=2024-09-06 21:19:42 
jj1 = 146, max_th = 8.759175e-01, time=2024-09-06 21:20:59 
jj1 = 462, max_th = 2.933084e+00, time=2024-09-06 21:21:24 
jj1 = 122, max_th = 1.323253e+00, time=2024-09-06 21:21:43 
jj1 = 425, max_th = 1.686458e+00, time=2024-09-06 21:26:09 
jj1 = 195, max_th = 1.474497e+00, time=2024-09-06 21:27:30 
jj1 = 320, max_th = 1.907231e+00, time=2024-09-06 21:27:45 
jj1 = 145, max_th = 1.959455e+00, time=2024-09-06 21:28:03 
jj1 = 383, max_th = 2.428203e+00, time=2024-09-06 21:29:15 
jj1 = 382, max_th = 4.227767e-01, time=2024-09-06 21:31:24 
jj1 = 237, max_th = 1.999003e+00, time=2024-09-06 21:31:38 
jj1 = 276, max_th = 2.245765e+00, time=2024-09-06 21:32:57 
jj1 = 351, max_th = 1.908069e+00, time=2024-09-06 21:35:29 
jj1 = 424, max_th = 2.246623e+00, time=2024-09-06 21:36:15 
jj1 = 121, max_th = 2.077756e+00, time=2024-09-06 21:38:35 
jj1 = 144, max_th = 2.711569e+00, time=2024-09-06 21:40:17 
jj1 = 319, max_th = 2.277936e+00, time=2024-09-06 21:42:25 
jj1 = 318, max_th = 3.092313e+00, time=2024-09-06 21:44:03 
jj1 = 423, max_th = 1.493098e+00, time=2024-09-06 21:44:13 
jj1 = 461, max_th = 1.962021e+00, time=2024-09-06 21:45:36 
jj1 = 422, max_th = 8.570759e-01, time=2024-09-06 21:45:51 
jj1 = 194, max_th = 2.008327e+00, time=2024-09-06 21:48:18 
jj1 = 236, max_th = 2.514361e+00, time=2024-09-06 21:48:24 
jj1 = 193, max_th = 4.425220e-01, time=2024-09-06 21:48:52 
jj1 = 381, max_th = 9.225768e-01, time=2024-09-06 21:49:18 
jj1 = 350, max_th = 1.449986e+00, time=2024-09-06 21:49:30 
jj1 = 521, max_th = 1.829563e+00, time=2024-09-06 21:50:13 
