MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 437, max_th = 1.704822e+00, time=2024-09-06 20:11:11 
jj1 = 272, max_th = 3.025973e+00, time=2024-09-06 20:13:27 
jj1 = 87, max_th = 1.632111e+00, time=2024-09-06 20:14:18 
jj1 = 436, max_th = 9.653358e-01, time=2024-09-06 20:15:05 
jj1 = 315, max_th = 1.791086e+00, time=2024-09-06 20:16:21 
jj1 = 481, max_th = 2.415699e+00, time=2024-09-06 20:16:31 
jj1 = 205, max_th = 1.608606e+00, time=2024-09-06 20:17:52 
jj1 = 158, max_th = 1.972311e+00, time=2024-09-06 20:18:56 
jj1 = 435, max_th = 1.440650e+00, time=2024-09-06 20:19:29 
jj1 = 390, max_th = 1.459297e+00, time=2024-09-06 20:19:38 
jj1 = 124, max_th = 2.034557e+00, time=2024-09-06 20:21:12 
jj1 = 86, max_th = 2.858235e+00, time=2024-09-06 20:22:00 
jj1 = 389, max_th = 1.106156e+00, time=2024-09-06 20:23:01 
jj1 = 480, max_th = 2.740187e+00, time=2024-09-06 20:23:16 
jj1 = 271, max_th = 1.679302e+00, time=2024-09-06 20:23:19 
jj1 = 240, max_th = 2.495571e+00, time=2024-09-06 20:23:46 
jj1 = 434, max_th = 2.292126e+00, time=2024-09-06 20:24:59 
jj1 = 516, max_th = 2.214894e+00, time=2024-09-06 20:25:44 
jj1 = 314, max_th = 1.642865e+00, time=2024-09-06 20:26:04 
jj1 = 239, max_th = 7.686822e-01, time=2024-09-06 20:28:07 
jj1 = 433, max_th = 2.813481e+00, time=2024-09-06 20:29:14 
jj1 = 204, max_th = 1.902670e+00, time=2024-09-06 20:30:42 
jj1 = 123, max_th = 1.472191e+00, time=2024-09-06 20:31:39 
jj1 = 313, max_th = 1.542798e+00, time=2024-09-06 20:32:18 
jj1 = 357, max_th = 2.221107e+00, time=2024-09-06 20:32:56 
jj1 = 157, max_th = 2.403797e+00, time=2024-09-06 20:33:37 
jj1 = 85, max_th = 9.290566e-01, time=2024-09-06 20:36:42 
jj1 = 270, max_th = 1.769477e+00, time=2024-09-06 20:36:55 
jj1 = 312, max_th = 1.219936e+00, time=2024-09-06 20:41:17 
jj1 = 156, max_th = 1.955859e+00, time=2024-09-06 20:41:21 
jj1 = 432, max_th = 1.968256e+00, time=2024-09-06 20:41:54 
jj1 = 122, max_th = 1.116748e+00, time=2024-09-06 20:42:42 
jj1 = 203, max_th = 1.934314e+00, time=2024-09-06 20:43:02 
jj1 = 479, max_th = 1.403512e+00, time=2024-09-06 20:43:23 
jj1 = 388, max_th = 2.106216e+00, time=2024-09-06 20:43:52 
jj1 = 84, max_th = 2.816729e+00, time=2024-09-06 20:46:24 
jj1 = 202, max_th = 2.601719e+00, time=2024-09-06 20:46:50 
jj1 = 269, max_th = 2.230165e+00, time=2024-09-06 20:48:39 
jj1 = 155, max_th = 2.939339e+00, time=2024-09-06 20:49:32 
jj1 = 238, max_th = 2.090615e+00, time=2024-09-06 20:49:46 
jj1 = 311, max_th = 1.668776e+00, time=2024-09-06 20:52:01 
jj1 = 515, max_th = 2.036235e+00, time=2024-09-06 20:52:52 
jj1 = 201, max_th = 2.465813e+00, time=2024-09-06 20:53:27 
jj1 = 431, max_th = 2.248055e+00, time=2024-09-06 20:53:30 
jj1 = 200, max_th = -7.006266e-03, time=2024-09-06 20:54:56 
jj1 = 237, max_th = 2.787215e+00, time=2024-09-06 20:57:29 
jj1 = 268, max_th = 1.660443e+00, time=2024-09-06 20:58:03 
jj1 = 199, max_th = 2.897245e+00, time=2024-09-06 20:58:15 
jj1 = 478, max_th = 1.726501e+00, time=2024-09-06 20:59:02 
jj1 = 154, max_th = 1.904865e+00, time=2024-09-06 21:00:16 
jj1 = 310, max_th = 2.233710e+00, time=2024-09-06 21:00:19 
jj1 = 309, max_th = 1.057946e+00, time=2024-09-06 21:02:19 
jj1 = 430, max_th = 1.672913e+00, time=2024-09-06 21:02:42 
jj1 = 153, max_th = 7.972682e-01, time=2024-09-06 21:03:31 
jj1 = 121, max_th = 1.945335e+00, time=2024-09-06 21:03:46 
jj1 = 356, max_th = 1.908975e+00, time=2024-09-06 21:03:53 
jj1 = 198, max_th = 2.518650e+00, time=2024-09-06 21:05:06 
jj1 = 83, max_th = 2.359503e+00, time=2024-09-06 21:06:46 
jj1 = 267, max_th = 1.742643e+00, time=2024-09-06 21:06:52 
jj1 = 387, max_th = 2.004065e+00, time=2024-09-06 21:08:20 
jj1 = 477, max_th = 2.592308e+00, time=2024-09-06 21:10:38 
jj1 = 429, max_th = 2.010425e+00, time=2024-09-06 21:12:09 
jj1 = 476, max_th = 6.172019e-01, time=2024-09-06 21:12:36 
jj1 = 197, max_th = 1.594729e+00, time=2024-09-06 21:12:53 
jj1 = 355, max_th = 1.311368e+00, time=2024-09-06 21:13:02 
jj1 = 514, max_th = 2.318309e+00, time=2024-09-06 21:13:03 
jj1 = 152, max_th = 2.549686e+00, time=2024-09-06 21:13:58 
jj1 = 308, max_th = 1.670758e+00, time=2024-09-06 21:14:02 
jj1 = 151, max_th = 3.006248e+00, time=2024-09-06 21:14:48 
jj1 = 236, max_th = 2.316164e+00, time=2024-09-06 21:16:23 
jj1 = 266, max_th = 2.126172e+00, time=2024-09-06 21:17:31 
jj1 = 82, max_th = 2.447393e+00, time=2024-09-06 21:19:20 
jj1 = 475, max_th = 1.051164e+00, time=2024-09-06 21:20:05 
jj1 = 150, max_th = 1.228328e+00, time=2024-09-06 21:20:32 
jj1 = 120, max_th = 1.544555e+00, time=2024-09-06 21:20:48 
jj1 = 196, max_th = 2.299736e+00, time=2024-09-06 21:21:17 
jj1 = 81, max_th = 4.363513e-01, time=2024-09-06 21:21:49 
jj1 = 513, max_th = 2.878503e+00, time=2024-09-06 21:23:14 
jj1 = 428, max_th = 2.080102e+00, time=2024-09-06 21:23:41 
jj1 = 307, max_th = 1.914518e+00, time=2024-09-06 21:24:11 
jj1 = 265, max_th = 2.460549e+00, time=2024-09-06 21:25:12 
jj1 = 354, max_th = 2.377787e+00, time=2024-09-06 21:25:23 
jj1 = 306, max_th = 2.975721e+00, time=2024-09-06 21:27:35 
jj1 = 305, max_th = 4.398132e+00, time=2024-09-06 21:27:38 
jj1 = 264, max_th = 1.119409e+00, time=2024-09-06 21:27:55 
jj1 = 195, max_th = 2.344202e+00, time=2024-09-06 21:28:42 
jj1 = 304, max_th = 1.076095e+00, time=2024-09-06 21:30:08 
jj1 = 149, max_th = 2.129897e+00, time=2024-09-06 21:30:15 
jj1 = 80, max_th = 2.462153e+00, time=2024-09-06 21:31:58 
jj1 = 194, max_th = 9.651470e-01, time=2024-09-06 21:32:29 
jj1 = 386, max_th = 2.087391e+00, time=2024-09-06 21:33:21 
jj1 = 303, max_th = 2.761952e+00, time=2024-09-06 21:33:22 
jj1 = 427, max_th = 1.742977e+00, time=2024-09-06 21:34:01 
jj1 = 353, max_th = 2.118099e+00, time=2024-09-06 21:34:09 
jj1 = 235, max_th = 2.044789e+00, time=2024-09-06 21:34:33 
